,name,username,description,location,followers,numberstatuses,time,tweets,wordlist,word_count,sentiment_label,sentiment_score
4,GunsandCoffee,GunsandCoffee70,ENGLISH TRANSLATIONS: http://t.co/QLdJ0ftews,,640,49,1/6/2015 21:45,ENGLISH TRANSLATION: AQAP: 'RESPONSE TO SHEIKH BAGHDADIS STATEMENT 'ALTHOUGH THE DISBELIEVERS DISLIKE IT.' http://t.co/2EYm9EymTe,"['statement', 'disbeliever', 'aqap', 'baghdadis', 'sheikh', 'although', 'dislike', 'response']",129,NEG,0.9276275038719177
8,GunsandCoffee,GunsandCoffee70,ENGLISH TRANSLATIONS: http://t.co/QLdJ0ftews,,640,49,1/6/2015 22:17,Aslm Please share our new account after the previous one was suspended.@KhalidMaghrebi @seifulmaslul123 @CheerLeadUnited,"['please', 'suspendedkhalidmaghrebi', 'aslm', 'account', 'previous', 'new', 'seifulmaslul', 'cheerleadunited', 'one', 'share']",120,NEG,0.7326805591583252
42,ابو الدرداء #خلافة,YazeedDhardaa25,Observing a JIHAD NEWS mainly about Islamic State.,,904,127,8/29/2015 20:22,@Skxx51 truth behind Jan13 where he's asserted that FSA the one who start the infighting and killing muhajireen @striv3ric @War_Reports(4),"['strivric', 'truth', 'asserted', 'one', 'muhajireen', 'he', 'jan', 'killing', 'start', 'fsa', 'behind', 'warreports', 'skxx', 'infighting']",138,NEG,0.8940110206604004
48,IS_BAQIYA,BaqiyaIs,,,25,471,8/30/2015 13:04,@abuyaqub6: RT @Alwalawalbara12: May Allah punish every shiite ! https://t.co/y1WWfRJdTp/s/AqAU,"['rt', 'alwalawalbara', 'every', 'shiite', 'allah', 'may', 'abuyaqub', 'punish']",95,NEG,0.9519999027252197
70,IS_BAQIYA,BaqiyaIs,,,25,471,8/31/2015 13:17,"Iraq
Hashd criminals bought to justice same way the killed Sunnis , they were killed by IS
https://t.co/qSMoGs3IHh/s/cgxY http.","['http', 'way', 'sunni', 'killed', 'iraqhashd', 'bought', 'criminal', 'justice']",127,NEG,0.9102292060852051
73,IS_BAQIYA,BaqiyaIs,,,25,471,9/1/2015 10:59,Yarmouk TV channel linked to the Jordanian Muslim Brothers has been suspended by Joedanian  authorities. http://t.co/pWIO0plqdJ/s/SzIN,"['channel', 'tv', 'yarmouk', 'jordanian', 'linked', 'brother', 'suspended', 'joedanian', 'authority', 'muslim']",134,NEG,0.6487070918083191
74,IS_BAQIYA,BaqiyaIs,,,25,471,9/1/2015 11:01,"@anti__terrorist: #WilayatAlJazirah
Harvesting comb honey from beehives
http://t.co/uZrMzw9qNy/s/dLaK http://t.co/Tdi7ndoht4/s/91CM","['', 'honey', 'beehive', 'comb', 'antiterrorist']",131,NEG,0.973445475101471
75,IS_BAQIYA,BaqiyaIs,,,25,471,9/1/2015 11:06,#AlShabaab claims it killed 50+ #AMISOM soldiers from #UPDF in today's Jannaale attack carried out by Sheikh Abu Zubayr battali,"['', 'carried', 'jannaale', 'killed', 'battali', 'sheikh', 'attack', 'claim', 'abu', 'zubayr', 'today', 'soldier']",127,NEG,0.9359123706817627
84,IS_BAQIYA,BaqiyaIs,,,25,471,9/1/2015 14:56,"@3diyah1000: Most popular attacks in Somalia last years : #dayniile attack, #Lego attack, #Jannale attack, #Yurkud attack.
#Somalia","['', 'popular', 'attack#somalia', 'year', 'somalia', 'diyah', 'attack', 'last']",131,NEG,0.8476150631904602
88,abu baker aldimashqi,abubakerdimshqi,,,119,274,9/1/2015 16:21,"@IronMuhajir2 @jundhullah14 
nothing like Jihad, God give us the help and power to do our FARRIDA","['help', 'god', 'farrida', 'nothing', 'power', 'jihad', 'jundhullah', 'give', 'ironmuhajir', 'u', 'like']",97,NEG,0.7894981503486633
96,abu baker aldimashqi,abubakerdimshqi,,,119,274,9/2/2015 23:06,my heart is tears blood every day for those kids from the occupied #Syria my loved country https://t.co/iZPJdxSkG2,"['', 'heart', 'day', 'every', 'loved', 'kid', 'country', 'occupied', 'tear', 'blood']",114,NEG,0.5025942921638489
97,IS_BAQIYA,BaqiyaIs,,,25,471,9/3/2015 3:16,"WilayatSayna
Konkurs Missile attacks - Harvest of the Soldiers Islamic State Wilayat Sayna'
http://t.co/2oHOgdXVKO/s/y-je...","['missile', 'sayna', 'wilayat', 'attack', 'wilayatsaynakonkurs', 'harvest', 'islamic', 'state', 'soldier']",124,NEG,0.8828936219215393
102,ابو الدرداء #خلافة,YazeedDhardaa25,Observing a JIHAD NEWS mainly about Islamic State.,,904,127,9/3/2015 4:32,RT @pieternanninga: New #IS video shows four men being burned alive in al-Anbar province http://t.co/YvdLFHfaUV,"['', 'province', 'video', 'alanbar', 'men', 'burned', 'pieternanninga', 'new', 'alive', 'four', 'show']",111,NEG,0.9124203324317932
103,IS_BAQIYA,BaqiyaIs,,,25,471,9/3/2015 13:03,"Ali Mohammad Beqaaey died. Second Syrian refugee child to die shot by funeral stray bullets in Lebanon, in 2 months....","['refugee', 'stray', 'ali', 'syrian', 'bullet', 'mohammad', 'child', 'month', 'die', 'shot', 'beqaaey', 'second', 'funeral', 'lebanon', 'died']",119,NEG,0.9685949087142944
104,IS_BAQIYA,BaqiyaIs,,,25,471,9/3/2015 13:03,"@uygaraktas: #Uighurs are being eliminated in Pakistan under the pretext of war  against terrorism 
http://t.co/1QwksVvqKk/s/kJQn","['', 'uygaraktas', 'war', 'pretext', 'terrorism', 'pakistan', 'eliminated']",129,NEG,0.8664872646331787
106,IS_BAQIYA,BaqiyaIs,,,25,471,9/3/2015 13:04,Mujahideen from Burma capture 3 pigs of the Buddhist army http://t.co/UJMkNMR6NH/s/l_Oi,"['capture', 'burma', 'army', 'mujahideen', 'pig', 'buddhist']",87,NEG,0.884064257144928
110,abu baker aldimashqi,abubakerdimshqi,,,119,274,9/3/2015 23:47,"RT @MuslimPrisoners: Bothers &amp; Sisters plz show determination.
If the haters never trier banning Abu Haleemah, we should never stop our sho…","['muslimprisoners', 'sister', 'banning', 'determinationif', 'hater', 'amp', 'show', 'haleemah', 'stop', 'plz', 'never', 'abu', 'trier', 'sho', 'bother']",144,NEG,0.9425784349441528
113,IS_BAQIYA,BaqiyaIs,,,25,471,9/4/2015 16:06,Iraq Basra body of young sunni child found with signs of torture 1 day after being kidnapped by Rafidah militia,"['militia', 'sign', 'found', 'torture', 'sunni', 'day', 'child', 'rafidah', 'young', 'kidnapped', 'body', 'basra', 'iraq']",111,NEG,0.9390204548835754
116,IS_BAQIYA,BaqiyaIs,,,25,471,9/4/2015 16:20,"@AK47_PK:
wilayatwestafrica/ double martydom operation targeted military #camp in north Cameroon kills 19,wounds 143","['kill', '', 'martydom', 'wound', 'akpkwilayatwestafrica', 'cameroon', 'operation', 'targeted', 'north', 'double', 'military']",116,NEG,0.9654175639152527
117,IS_BAQIYA,BaqiyaIs,,,25,471,9/4/2015 16:25,"Tower of Elahbel a grave made into a tower, worshiped by people around the world. Destroyed by Islamic State.","['destroyed', 'made', 'around', 'people', 'worshiped', 'world', 'grave', 'islamic', 'elahbel', 'tower', 'state']",109,NEG,0.9623567461967468
121,IS_BAQIYA,BaqiyaIs,,,25,471,9/5/2015 0:40,@spamci16: More than 70000 childrens have been killed by Assad regime.Why cry only for the drowned child?Hypocricy of the world.,"['cry', 'childrens', 'killed', 'spamci', 'assad', 'world', 'drowned', 'childhypocricy', 'regimewhy']",128,NEG,0.9803094267845154
122,IS_BAQIYA,BaqiyaIs,,,25,471,9/5/2015 0:42,PHOTOS: #UAE broadcast footage of airstrikes in #Yemen after 45 UAE soldiers killed in Marib.- @Flea1337 http://t.co/2GKY3HemJW/s/-ZpH,"['photo', '', 'killed', 'footage', 'flea', 'airstrikes', 'uae', 'marib', 'broadcast', 'soldier']",134,NEG,0.9227210879325867
123,IS_BAQIYA,BaqiyaIs,,,25,471,9/5/2015 2:20,"also my sincere condolences for UAE , but also for the 4500 Yemeni civilian killed in this meaningless war  https://t.co/qlvRqzEkjL/s/Gqek","['war', 'killed', 'civilian', 'condolence', 'meaningless', 'sincere', 'also', 'uae', 'yemeni']",138,NEG,0.976929247379303
124,IS_BAQIYA,BaqiyaIs,,,25,471,9/5/2015 2:31,Syrian apostate sahwat dragging a beheaded corpse of a muslim for the sake of America and Turkey https://t.co/M9NiJOQNY4/s/9pvk,"['apostate', 'sake', 'syrian', 'dragging', 'sahwat', 'corpse', 'beheaded', 'turkey', 'america', 'muslim']",127,NEG,0.9757387042045593
128,IS_BAQIYA,BaqiyaIs,,,25,471,9/5/2015 2:58,"@AK47_PK:
This is how coalition Air Raid Destroyed humanity,

An infant injured in an Coalition strike at Ar Rutbah, August 6...","['akpkthis', 'destroyed', 'humanityan', 'ar', 'infant', 'air', 'rutbah', 'august', 'injured', 'raid', 'strike', 'coalition']",128,NEG,0.9762182235717773
129,IS_BAQIYA,BaqiyaIs,,,25,471,9/5/2015 3:51,15 year old US crusader sent to hell with I fag in his mouth by islamic state in kafra mazra3ah. Hilarious http://t.co/D2/s/CP7e.,"['old', 'sent', 'hell', 'mouth', 'mazraah', 'year', 'kafra', 'hilarious', 'crusader', 'fag', 'islamic', 'state', 'u']",129,NEG,0.9761610627174377
133,IS_BAQIYA,BaqiyaIs,,,25,471,9/5/2015 11:43,"Islamic state
Wilaya alanbar
Dead apostates prisoners executed West of Khalidiya
http://t.co/usEiyB0xqN/s/FWxZ http://t.co/ppqVRVRukU/s/80lK","['apostate', 'alanbardead', 'executed', 'prisoner', 'islamic', 'khalidiya', 'west', 'statewilaya']",140,NEG,0.9419575929641724
138,IS_BAQIYA,BaqiyaIs,,,25,471,9/5/2015 13:15,"@Mustafaklashin7: Correction: while ghouta is besieged, allloush is eating in a restaurant in Amman (Jordan)","['correction', 'jordan', 'amman', 'besieged', 'ghouta', 'restaurant', 'eating', 'allloush', 'mustafaklashin']",108,NEG,0.6385586857795715
146,IS_BAQIYA,BaqiyaIs,,,25,471,9/5/2015 14:06,Shame on you Arabs;Shame on you Islamic countries Shame on you Gulf countries You're no less than#Assad Syria https://t.co/ITW4lOrXA8/s/BjNS,"['gulf', 'arabsshame', 'than#assad', 'less', 'country', 'islamic', 'youre', 'syria', 'shame']",140,NEG,0.9774909019470215
147,IS_BAQIYA,BaqiyaIs,,,25,471,9/5/2015 14:08,"La hawla walā quwwata illā billah.

AQAP betrayed from their own al","['wal', 'quwwata', 'ill', 'la', 'billahaqap', 'al', 'betrayed', 'hawla']",67,NEG,0.8031135201454163
148,IS_BAQIYA,BaqiyaIs,,,25,471,9/5/2015 14:08,"ly the taghūt Hādī, abt 100 killed, tens captured &amp; injured by Hout","['ten', 'killed', 'amp', 'captured', 'injured', 'taght', 'abt', 'hd', 'ly', 'hout']",71,NEG,0.9700810313224792
150,IS_BAQIYA,BaqiyaIs,,,25,471,9/5/2015 14:13,Those poor children lost their parents only to be taken in by killers liars thieves terrorists and traitors. What good can come out of it,"['liar', 'terrorist', 'poor', 'child', 'parent', 'good', 'killer', 'thief', 'taken', 'lost', 'traitor', 'come']",137,NEG,0.9794265031814575
159,IS_BAQIYA,BaqiyaIs,,,25,471,9/5/2015 16:42,@Jazrawi_Ouud: Turkish soldier kidnapped thought to be taken by smugglers and not Islamic state #Turkey http://t.co/f81N3lyT6I/s/3bk-,"['', 'thought', 'smuggler', 'jazrawiouud', 'islamic', 'turkish', 'kidnapped', 'taken', 'state', 'soldier']",133,NEG,0.9363044500350952
160,IS_BAQIYA,BaqiyaIs,,,25,471,9/5/2015 16:48,@AK47_PK: @AlArabiya_Eng: Ten #Saudi soldiers killed near #Yemeni border http://t.co/2FQdsY6xER/s/hnLF http://t.co/AOvplApWP2/s/7rRR,"['', 'ten', 'near', 'border', 'killed', 'akpk', 'alarabiyaeng', 'soldier']",132,NEG,0.9612986445426941
161,ابو الدرداء #خلافة,YazeedDhardaa25,Observing a JIHAD NEWS mainly about Islamic State.,,904,127,9/5/2015 19:02,@jtmharreh That's an untold story. A painful reality,"['painful', 'untold', 'thats', 'jtmharreh', 'reality', 'story']",52,NEG,0.7160074710845947
167,ابو الدرداء #خلافة,YazeedDhardaa25,Observing a JIHAD NEWS mainly about Islamic State.,,904,127,9/5/2015 20:40,"@BintRosie34 because they don't want to accept the sharia because they know they can't spread their stupid religion, practice publicly (1)","['want', 'dont', 'publicly', 'bintrosie', 'spread', 'religion', 'practice', 'stupid', 'accept', 'know', 'cant', 'sharia']",138,NEG,0.9512499570846558
173,ابو الدرداء #خلافة,YazeedDhardaa25,Observing a JIHAD NEWS mainly about Islamic State.,,904,127,9/6/2015 20:57,"Humanity only belong to kuffar. It's humanity if kuffar carried out a genocides on Muslims. 
https://t.co/otO2YqG8xA","['carried', 'belong', 'genocide', 'kuffar', 'muslim', 'humanity']",116,NEG,0.959726095199585
175,ابو الدرداء #خلافة,YazeedDhardaa25,Observing a JIHAD NEWS mainly about Islamic State.,,904,127,9/6/2015 22:15,RT @sakirkhader: Shocking footage apparently shows the bodies of several tied and tortured #IS|#ISIS prisoners in a #Iraq|i jail. &gt; http://…,"['', 'tied', 'http', 'apparently', 'shocking', 'footage', 'jail', 'sakirkhader', 'prisoner', 'gt', 'tortured', 'body', 'several', 'show']",143,NEG,0.8695228099822998
177,ابو الدرداء #خلافة,YazeedDhardaa25,Observing a JIHAD NEWS mainly about Islamic State.,,904,127,9/7/2015 16:43,@Jazrawi_Ouud I thought this was the beginning of their suffering in the facing of death @zaheralali00,"['thought', 'death', 'suffering', 'zaheralali', 'jazrawiouud', 'beginning', 'facing']",102,NEG,0.9180160760879517
179,ابو الدرداء #خلافة,YazeedDhardaa25,Observing a JIHAD NEWS mainly about Islamic State.,,904,127,9/7/2015 18:03,"RT @The_Joker_DC: Came to the wrong Manor 
😂 http://t.co/YrY5dUeZH4","['came', 'thejokerdc', 'manor', 'wrong']",67,NEG,0.8850929141044617
