,name,username,description,location,followers,numberstatuses,time,tweets,wordlist,word_count,sentiment_label,sentiment_score
31,ابو الدرداء #خلافة,YazeedDhardaa25,Observing a JIHAD NEWS mainly about Islamic State.,,904,127,8/26/2015 17:23,Salamu Alaykum. I'm back. Do supports and spread my new account. Barakallahu Feekum http://t.co/wXpW7vGXdw,"['feekum', 'im', 'spread', 'account', 'back', 'alaykum', 'new', 'barakallahu', 'support', 'salamu']",106,POS,0.6662624478340149
33,abu baker aldimashqi,abubakerdimshqi,,,112,273,8/28/2015 23:08,"best generation ever, TAKBIRRR #IS #Dawlah #cubs https://t.co/N9iwCfnMzT","['generation', '', 'ever', 'best', 'takbirrr']",72,POS,0.9735183715820312
94,IS_BAQIYA,BaqiyaIs,,,25,471,9/2/2015 16:07,"#WilayatAlFallujah

New Video : The Knights of Victory (Part 3)

Coming Soon.....InshaAllah http://t.co/RaCiBw8yNU/s/uXrn","['', 'coming', 'video', 'knight', 'sooninshaallah', 'victory', 'part']",121,POS,0.7833726406097412
172,ابو الدرداء #خلافة,YazeedDhardaa25,Observing a JIHAD NEWS mainly about Islamic State.,,904,127,9/6/2015 20:41,A beautiful scenery can be seen on this picture. One of the bridges in #Mosul. City of Caliphate #IslamicState http://t.co/ddxeoxATxm,"['', 'caliphate', 'city', 'bridge', 'seen', 'scenery', 'beautiful', 'picture', 'one']",133,POS,0.767794132232666
183,abu baker aldimashqi,abubakerdimshqi,,,119,273,9/8/2015 22:51,"thx God, our lovely Shiekh is free 
wish to meet you soon teacher and wish the freedom for all brothers in preson https://t.co/dhXRSgCWUR","['soon', 'shiekh', 'teacher', 'meet', 'lovely', 'wish', 'brother', 'free', 'thx', 'preson', 'freedom', 'god']",137,POS,0.9784888029098511
197,ابو الدرداء #خلافة,YazeedDhardaa25,Observing a JIHAD NEWS mainly about Islamic State.,,823,127,9/9/2015 18:42,It was a year after the released of Saleel As Sawarim 4.. I hope the 5th version will coming soon.,"['soon', 'hope', 'released', 'coming', 'year', 'saleel', 'th', 'sawarim', 'version']",98,POS,0.5217347145080566
221,abu baker aldimashqi,abubakerdimshqi,,,119,273,9/15/2015 15:35,RT @ayyx3: Subhan Allāh its amazing how we can love and care for brothers and sisters even though we haven't met them because its fī sabīli…,"['sister', 'havent', 'though', 'love', 'subhan', 'sabli', 'ayyx', 'brother', 'met', 'care', 'even', 'allh', 'amazing', 'f']",140,POS,0.9282885789871216
222,abu baker aldimashqi,abubakerdimshqi,,,119,273,9/15/2015 15:46,"@_UmmHussain MASHA'A ALLAH you have made an important step for this life and the #hereafter, may Allah honors us with #Hijjrah&amp; #Shahada","['life', '', 'ummhussain', 'honor', 'made', 'mashaa', 'step', 'allah', 'may', 'u', 'important']",140,POS,0.9829082489013672
231,Kuffar Hunter 1,WhiteCat_7,Die in Rage Twitter!,,328,798,9/23/2015 14:27,@JoinISNation82 gets more interesting,"['get', 'interesting', 'joinisnation']",37,POS,0.8836804628372192
232,Kuffar Hunter 1,WhiteCat_7,Die in Rage Twitter!,,328,798,9/23/2015 14:28,@PRINCESSBAQIYA2 yes,"['princessbaqiya', 'yes']",20,POS,0.7495428919792175
233,Kuffar Hunter 1,WhiteCat_7,Die in Rage Twitter!,,328,798,9/23/2015 14:31,@Jazrawi_3uud good to know. Alhamdulillah,"['good', 'jazrawiuud', 'alhamdulillah', 'know']",41,POS,0.9696007966995239
236,Kuffar Hunter 1,WhiteCat_7,Die in Rage Twitter!,,362,798,9/23/2015 14:37,@PRINCESSBAQIYA2 feeling safe for now! Feeling like a tourist!,"['feeling', 'princessbaqiya', 'safe', 'tourist', 'like']",62,POS,0.6968422532081604
238,Kuffar Hunter 1,WhiteCat_7,Die in Rage Twitter!,,362,798,9/23/2015 14:39,Alhamdulillah! https://t.co/wYlW9XYvqp,['alhamdulillah'],38,POS,0.7824461460113525
239,Kuffar Hunter 1,WhiteCat_7,Die in Rage Twitter!,,362,798,9/23/2015 14:41,@WakasFahad10 @lionerr20 nice to hear that!,"['wakasfahad', 'nice', 'lionerr', 'hear']",43,POS,0.9423146843910217
276,Kuffar Hunter 1,WhiteCat_7,Die in Rage Twitter!,,362,798,9/25/2015 12:06,"RT @adnan04ar01: 140,000 Muslims Celebrate Eid Al-Adha at Moscow’s New Mosque. http://t.co/moBCkSTpIG http://t.co/a7ogzeDSWn","['moscow', 'aladha', 'celebrate', 'eid', 'adnanar', 'mosque', 'new', 'muslim']",124,POS,0.6203218102455139
339,abu baker aldimashqi,abubakerdimshqi,,,119,273,9/30/2015 21:22,"from the Heart love and respect for all #MUJAHDIN in BILAD #ALSHAM
Brothers&amp;Sisters you are our hope to lead us to right way #IS","['', 'heart', 'hope', 'way', 'right', 'love', 'bilad', 'lead', 'respect', 'u']",132,POS,0.9082342982292175
342,abu baker aldimashqi,abubakerdimshqi,,,119,273,9/30/2015 21:27,"RT @MuslimPrisoners: Interesting Statement.

Ya Allah help this Ummah &amp; #FreeMuslimPrisoners http://t.co/IZpAyATSFA","['', 'muslimprisoners', 'help', 'ummah', 'statementya', 'amp', 'interesting', 'allah']",119,POS,0.5684978365898132
368,abu baker aldimashqi,abubakerdimshqi,,,119,273,10/5/2015 11:24,"@TawheedNetwrk  may Allah protect him from all Murtadin and Kuffar
may allah make it easy for him and us","['tawheednetwrk', 'allah', 'murtadin', 'make', 'protect', 'may', 'u', 'easy', 'kuffarmay']",104,POS,0.6136760711669922
439,The Witnesser,Bajwa47online,"The Dust Will Never Settle Down  
                   
                                                   
(Abu Talhah)",,427,1953,10/16/2015 16:38,AlhamduLILLAH!!! https://t.co/FfGWGDvG2q,['alhamdulillah'],40,POS,0.7824461460113525
469,The Witnesser,Bajwa47online,"The Dust Will Never Settle Down  
                   
                                                   
(Abu Talhah)",,427,1953,10/21/2015 17:47,AlhamduLiLLAH #Khilafah is Back https://t.co/14HNmyFaWM,"['', 'back', 'alhamdulillah']",55,POS,0.8458694815635681
496,The Witnesser,Bajwa47online,"The Dust Will Never Settle Down  
                   
                                                   
(Abu Talhah)",,427,1953,10/25/2015 12:26,"🔻▪🔻

#Photoreport
#IslamicState
#WilayatAlJazirah

📷| The Reconciliation is the Best

 https://t.co/WHAAx2uLtq https://t.co/rxkR53kAn6","['', 'reconciliation', 'best']",134,POS,0.8099778890609741
503,The Witnesser,Bajwa47online,"The Dust Will Never Settle Down  
                   
                                                   
(Abu Talhah)",,427,1953,10/26/2015 13:57,"@RT_America @__OO1Muslliimah alhamduLiLLAH i got survived, at that time: i was going in a local van and so i didnt felt. May ALLAH Protect.","['survived', 'time', 'local', 'alhamdulillah', 'oomuslliimah', 'felt', 'america', 'got', 'van', 'allah', 'protect', 'may', 'didnt', 'going']",139,POS,0.8185654282569885
547,The Witnesser,Bajwa47online,"The Dust Will Never Settle Down  
                   
                                                   
(Abu Talhah)",,427,1953,11/4/2015 13:34,"#IslamicState
#AlFallujah 
#Caravan_Of_Martyrs
📷| "" Abu Hamza al-Ansari ""
May Allah Accept him and b pleased wid him https://t.co/00VDJDjNvf","['', 'b', 'pleased', 'wid', 'alansari', 'allah', 'abu', 'accept', 'may', 'hamza']",140,POS,0.7445237636566162
590,abu baker aldimashqi,abubakerdimshqi,,,119,273,11/17/2015 13:05,"@Al_Fatih_18 Mubrak Akhi, may Allah rewards you for all your wishes to him and keep him on the Tawheed for all his life.","['life', 'reward', 'wish', 'allah', 'akhi', 'alfatih', 'may', 'mubrak', 'keep', 'tawheed']",120,POS,0.8754919171333313
675,War Reporter,warreporter2,"Reporting, analysing and discussing conflicts and terrorist movements, with a focus primarily on MENA","München, Deutschland",130,656,12/13/2015 16:50,@dread_muslem Allah bless them with it inshallah,"['allah', 'dreadmuslem', 'inshallah', 'bless']",48,POS,0.9485820531845093
688,abdlrhmn,abdlrhmn15,Do And Die only for ISLAM,,24,144,12/15/2015 11:43,"I am not able to understand language but i can feel the PAIN of my people.

May Allah bless to all","['pain', 'language', 'allah', 'understand', 'feel', 'peoplemay', 'able', 'bless']",98,POS,0.8271231055259705
698,abdlrhmn,abdlrhmn15,Do And Die only for ISLAM,,24,144,12/17/2015 16:49,@absialbaghdadi our Mujahid will welcome kufr soon,"['mujahid', 'soon', 'welcome', 'absialbaghdadi', 'kufr']",50,POS,0.9860075116157532
758,Mohamed Naseem,NaseemAhmed50,"Journalist ,Seeking and spreading the truth.",Male'. Maldives.,2121,4992,12/26/2015 7:50,My best RTs this week came from: @aliramyz @Ebrahym2039 @EPlC16 @iFayaz @Adhleem #thankSAll Who were yours? https://t.co/81yvekj6jC,"['', 'ebrahym', 'ifayaz', 'came', 'best', 'aliramyz', 'rts', 'eplc', 'adhleem', 'week']",131,POS,0.9495766758918762
830,أبو أسامة الصومالي,CXaafada2,Degree from Tableeq(UK) | Masters from Alshabaab(Somalia) | PhD Research Fellow at Islamic State(Yemen). #IslamicState #IslamicPolitics   #Somalia #Yemen,Wilayat Hadramaut,866,370,12/30/2015 20:09,"Welcome to D.R Beattie
Preparations for NEW YEAR party in full swing at Victoria bar😂😂😂😂😂😂😂
#ukflood #UK https://t.co/LNuSJFoexw","['', 'party', 'full', 'victoria', 'welcome', 'year', 'bar#ukflood', 'new', 'dr', 'swing', 'beattiepreparations']",128,POS,0.9678410291671753
